Area,Date,Type,Issued By,No,Value,Description,# Issued,Atlas,Alberta,Theme A,Theme B,Theme C,Theme D
RSA,19600502.07,RWY,P,,$$$$,SA Railways Centenary,,,16.2,Railway/Trains,,,
RSA,19680227.01,RWY,P,,$$$$,Show Train        ,1500,169,25,Railway/Trains,,,
RSA,19710531.01,FDC,SAPO,0.017,$$,10th Ann. Republic of SA     ,38000,197,26,National Festivals,,,
RSA,19720904.01,FDC,SAPO,0.022,$$$,Blue Train        ,21500,205,27,Railway/Trains,,,
RSA,19730201.01,FDC,SAPO,0.024,$$,Escom         ,35000,208,28,Energy,,,
RSA,19741009.01,FDC,SAPO,0.039,$,UPU         ,48795,229,29,Postal History,UPU,,
RSA,19741012.01,CMC,P,,$$,Anglo Boer War Kraaipan      ,2500,230,30,Boer War,,,
RSA,19750920.01,RWY,P,,$$$,Last Jouney Ann Smith Locomotive     ,350,,35,Railway/Trains,,,
RSA,19751208.01,RWY,P,,$$$,Electrification Bloem Kroonstad railway line,250,,37,Railway/Trains,,,
RSA,19760401.08,RWY,SAPO,,$,Opening of Richards Bay Harbour     ,130000,260,38,Railway/Trains,Ships/Maritime,,
RSA,19760414.01,RWY,SARS,,$$,Opening Electric Traction Train      ,500,,39,Railway/Trains,,,
RSA,19770627.01,RWY,SATS,,$$$$,First Passenger train PTA Witbank,,,42,Railway/Trains,,,
RSA,19770812.01,RWY,KPPS_K,12,$$$,Vintage Train to Matjiesfontein      ,60,,44,Railway/Trains,,,
RSA,19771010.02,RWY,SAPO,,$,Boekenhoutsfontein Paul Kruger       ,5000,309,46,Monuments,Boer War,,
RSA,19780527.01,RWY,SATS,,$$$,Last steam train from Bloem to Aliwal North  ,500,,49,Railway/Trains,,,
RSA,19780529.01,RWY,SATS,,$$$,Last Journey Drakensberg Express (CPT Durban),300,,50,Railway/Trains,,,
RSA,19780605.01,FDC,SAPO,3.008,$,Iscor         ,130000,321,51,Manufacturing/Industries,,,
RSA,19781101.01,FIL,SAPO,,$,Essen Stamp Exhibition,,330,51.2,Stamp Exhibition,,,
RSA,19780731.01,FDC,SAPO,3.009,$,Richards Bay        ,130000,327,52,Ships/Maritime,,,
RSA,19780825.01,CMC,KPPS_K,16,$$$,75 Years Kempton Park     ,50,,53,Towns/Cities History,,,
RSA,19780930.01,RWY,P,,$$$$,Escourt to Weenen Train Race     ,500,,54,Railway/Trains,,,
RSA,19790825.01,RWY,P,,$$$,100 Years railway line PE to Graaff Reinet  ,2500,,56,Railway/Trains,,,
RSA,19790826.01,FLT,SAA,029,$,Flight CPT to PE      ,15000,,57,Flight and Aircraft,,,
RSA,19790826.02,FLT,SAA,029.1,$,Comm 50 years PE Durban,15000,,57,Flight and Aircraft,,,
RSA,19790826.03,FLT,SAA,029.2,$,Comm 50 years PE JHB,15000,,57,Flight and Aircraft,,,
RSA,19800506.02,FDC,SAPO,S05,$,Miniature Sheet Pieter Wenning      ,100000,357,62,Arts/Culture/Traditions,Paintings,,
RSA,19800510.01,RWY,SARS,,$$,Centenary Railroad line East London Queenstown,4000,,63,Railway/Trains,,,
RSA,19801129.01,RWY,SARS,,$$$,Centenary first train Durban PMB     ,3000,,64,Railway/Trains,,,
RSA,19801215.01,FDC,SAPO,3.026,$,Paardekraal Monument        ,145000,369,65,Monuments,Boer War,,
RSA,19811023.01,CMC,SAPO,,$,Matjiesfontein         ,5000,388,67,Towns/Cities History,,,
RSA,19820507.01,FIL,SAPO,,$,Telepax 82 Stamp Exhibition      ,19000,399,68,Stamp Exhibition,,,
RSA,19820507.02,FIL,SAPO,,$,Telepax 82 Stamp Exhibition      ,24000,399,69,Stamp Exhibition,,,
RSA,19820724.02,RWY,P,,$$,75th Ann Estcourt to Weenen Railway Line,500,,71,Railway/Trains,,,
RSA,19830427.01,FDC,SAPO,4.004,$,Trains         ,185000,413,72,Railway/Trains,,,
RSA,19830427.03,RWY,P,,$,De Aar Steam Trains      ,1000,413,77,Railway/Trains,,,
RSA,19830427.02,FDC,SILK,83.04,$$$,SILK Trains        ,600,413,78,Railway/Trains,,,
RSA,19830505.01,RWY,P,,$$$,Kalk Bay Railway Cent.      ,300,,91,Railway/Trains,,,
RSA,19830512.01,RWY,P,,$$$,Cape Midlander Train Tour,1000,,92,Railway/Trains,,,
RSA,19830625.02,RWY,P,,$$$,Last Steam Train Pietersburg Potgietersrust,500,,94,Railway/Trains,,,
RSA,19830709.01,CMC,P,,$$$$,100 Years Knysna,200,,95,Towns/Cities History,,,
RSA,19840111.01,RWY,P,,$$$,Inauguration Metroblitz JHB PTA      ,160,,100,Railway/Trains,,,
RSA,19840316.01,RWY,P,,$$$$,White train commemorating Nkomato Accord,,,101,Railway/Trains,Government and Politics,,
RSA,19840316.02,RWY,P,,$$$$,White Train Comm Nkomati Accord,,,101,Railway/Trains,Government and Politics,,
RSA,19840331.02,RWY,P,,$$$,100 years of Steam      ,5000,,103,Railway/Trains,,,
RSA,19840331.03,RWY,P,,$$$,De Aar 100       ,400,,104,Railway/Trains,,,
RSA,19840701.03,RWY,SATS,001,$$$,SA Railway Police       ,2050,,105,Railway/Trains,,,
RSA,19840824.01,FDC,SAPO,4.009,$,Bridges         ,140000,436,108,Bridges,,,
RSA,19850201.01,RWY,SATS,,$$$$$,Last Journey Drakensberg Express (JHB Durban),500,,110,Railway/Trains,,,
RSA,19850203.01,RWY,SATS,,$$$$$,Last Journey Drakensberg Express (Durban JHB),500,,111,Railway/Trains,,,
RSA,19850313.01,RWY,SATS,,$$$,Renaming of Mazista Train Station,48,,112,Railway/Trains,,,
RSA,19850504.01,RWY,SATS,,$$$,Metroblitz Last passenger trip JHB PTA,60,,113,Railway/Trains,,,
RSA,19850506.02,RWY,SATS,,$$$,Metroblitz New Running Times,60,,114,Railway/Trains,,,
RSA,19850520.01,RWY,SATS,,$$$,Opening Newcastle Vooruitsig Mountain Train Route,25,,115,Railway/Trains,,,
RSA,19850530.01,RWY,SAPO,,$,SA Transport Services       ,25000,456,117,Railway/Trains,,,
RSA,19850622.01,RWY,P,,$$$,Durban to Point Steam Train (Durban date stamp),,,118,Railway/Trains,,,
RSA,19850622.02,RWY,P,,$$$,Durban to Point Steam Train  (Point date stamp),,,118,Railway/Trains,,,
RSA,19850622.03,RWY,SATS,,$$$,125 Years First Passenger Train SA,,,118,Railway/Trains,,,
RSA,19850726.01,RWY,TRS,,$$$,50 Years 16 E Class Locomotive,200,,122,Railway/Trains,,,
RSA,19851001.02,RWY,TRS,,$$$,50 Years 19C Class Locomotive,200,,124,Railway/Trains,,,
RSA,19851010.01,RWY,P,,$$$,25th Ann Railroad Society      ,300,,125,Railway/Trains,,,
RSA,19851011.01,RWY,P,,$$$,Kimberley Centenary Museum Coach,,,126,Railway/Trains,,,
RSA,19851012.01,RWY,P,,$$$,Kimberley Tramways,,,127,Railway/Trains,,,
RSA,19851128.01,RWY,P,,$$$,100 Years De Aar Kimberley Railway Line,,,129,Railway/Trains,,,
RSA,19860106.01,RWY,P,,$$$,Inauguration railway line Golela Komatipoort,,,130,Railway/Trains,,,
RSA,19860207.01,GLD,GOLD,,$$$$,GOLD Johannesburg 100       ,600,,131,Towns/Cities History,,,
RSA,19860207.02,GLD,GOLD,,$$$$,GOLD Johannesburg 100       ,600,,131,Towns/Cities History,,,
RSA,19860207.03,GLD,GOLD,,$$$$,GOLD Johannesburg 100       ,600,,131,Towns/Cities History,,,
RSA,19860207.04,GLD,GOLD,,$$$$,GOLD Johannesburg 100       ,600,,131,Towns/Cities History,,,
RSA,19860207.05,GLD,GOLD,,$$$$,GOLD Johannesburg 100       ,600,,131,Towns/Cities History,,,
RSA,19860207.06,GLD,GOLD,,$$$$,GOLD Johannesburg 100       ,600,,131,Towns/Cities History,,,
RSA,19860207.07,GLD,GOLD,,$$$$,GOLD Johannesburg 100       ,600,,131,Towns/Cities History,,,
RSA,19860214.01,RWY,P,,$$$,Opening of railway line Golela Komatipoort,,,132,Railway/Trains,,,
RSA,19860301.01,RWY,SARS,SAR271,$$$,End of Steam Era      ,725,,133,Railway/Trains,,,
RSA,19860301.02,RWY,SARS,SAR274,$$$,End of Steam Era      ,725,,134,Railway/Trains,,,
RSA,19860404.01,MIL,SAN,09,$$,25 years Parts Distribution Centre Simonstown    ,5000,,136,Military,,,
RSA,19860621.01,RWY,P,,$$$,100 Years Main Railway Line Durban Ladysmith,,,138,Railway/Trains,,,
RSA,19860811.01,RWY,P,,$$$$,Final closure railway line Port Shepstone to Harding,,,140,Railway/Trains,,,
RSA,19860906.01,RWY,P,,$$$$,The Rand Tram,,,141,Railway/Trains,,,
RSA,19860930.01,RWY,SATS,,$$$,Last day Railway Police,50,,145,Railway/Trains,Police,,
RSA,19861001.01,RWY,SAP,002,$$$$,Railway Police unified with SA Police,60,,146,Railway/Trains,Police,,
RSA,19861102.01,RWY,P,, ,Jacaranda Steam Train to Cullinan,,,148,Railway/Trains,,,
RSA,19861123.01,RWY,P,,,Steam Special to Magaliesburg,,,149,Railway/Trains,,,
RSA,19861129.01,RWY,P,,,Steam Special to Magaliesburg,,,149,Railway/Trains,,,
RSA,19870307.01,RWY,P,,,NG G16 Class No 85 Locomotive Gold Reef City,,,150,Railway/Trains,,,
RSA,19870413.01,RWY,P,,,Cape Midlander Train Tour – Magaliesberg,,,153,Railway/Trains,,,
RSA,19870415.01,RWY,P,,,Cape Midlander Train Tour – Grahamstown,,,153,Railway/Trains,,,
RSA,19870420.01,RWY,P,,,Cape Midlander Tour – Mossel Bay,,,153,Railway/Trains,,,
RSA,19870417.01,RWY,P,,,The Apple Train on Cape Midlander,,,154,Railway/Trains,,,
RSA,19870419.01,RWY,P,,,George Knysna Branch – Cape Midlander,,,155,Railway/Trains,,,
RSA,19870621.02,RWY,P,,,100 Years Inauguration NZASM,,,156,Railway/Trains,,,
RSA,19870621.03,RWY,P,,,100 Years Inauguration NZASM (2),,,156,Railway/Trains,,,
RSA,19870621.01,RWY,SATS,,25.00,100 Years ZA Spoorweg Maatschappij,,,156,Railway/Trains,,,
RSA,19870801.01,RWY,P,,,100 Years Founding NZASM Railway Co,,,157,Railway/Trains,,,
RSA,19871031.01,RWY,P,,,Commemorate Narrow Gauge Railways – PE to Avontuur,,,161,Railway/Trains,,,
RSA,19871031.02,RWY,P,,,Commemorate Narrow Gauge Railways – Avontuur to PE,,,162,Railway/Trains,,,
RSA,19871204.02,RWY,P,,,Banana Express Railway Line,,,163,Railway/Trains,,,
RSA,19880312.02,RWY,P,,,Steam Safari Pretoria Klein Kariba,,,164,Railway/Trains,,,
RSA,19880423.01,RWY,P,,,Last Steam Train Breyten Lothair,,,165,Railway/Trains,,,
RSA,19881122.01,RWY,SATS,1.08,50.00,Steam Train from Assegaaibos to Port Elizabeth (7 of 12),,,174,Railway/Trains,,,
RSA,19881213.01,RWY,SATS,1.09,50.00,Steam Train from Joubertina to Port Elizabeth (8 of 12),,,175,Railway/Trains,,,
RSA,19890224.01,RWY,SATS,1.10,50.00,Steam Train from  Krakelriver to Port Elizabeth (9 of 12),,,176,Railway/Trains,,,
RSA,19890417.01,RWY,SATS,1.11,50.00,Steam Train from Louterwater to Port Elizabeth (10 of 12),,,177,Railway/Trains,,,
RSA,19890623.01,RWY,SATS,1.12,50.00,Steam Train from Misgund to Port Elizabeth (11 of 12),,,178,Railway/Trains,,,
RSA,19890918.01,RWY,SATS,1.13,50.00,Steam Train from Avontuur to Port Elizabeth (12 of 12),,,179,Railway/Trains,,,
RSA,19881020.01,RWY,P,,,Electrification East London Springfontein Railway Line,,,182,Railway/Trains,,,
RSA,19890111.01,RWY,P,,,Bart Grove Proctivity Reward Humansdorp Railway,,,184,Railway/Trains,,,
RSA,19890325.02,RWY,P,,,Volksrust 100 – Rail,,,187,Military,Boer War,,
RSA,19890404.02,RWY,P,,,40 Years Closure Knysna Forest Railway,42,,188,Railway/Trains,,,
RSA,19890625.01,RWY,SATS,,25.00,Waterval Boven Oosterlijn Express,50,,189,Railway/Trains,,,
RSA,19890701.01,RWY,P,,,80 Years Take-over Rayton Cullinan Railway Line,16,,190,Railway/Trains,,,
RSA,19890831.02,RWY,P,,,60 Years Railway Line Messina Beit Bridge,25,,191,Railway/Trains,,,
RSA,19890831.03,RWY,P,,,60 Years Railway Line Messina Beit Bridge,74,,192,Railway/Trains,,,
RSA,19890904.02,RWY,P,,,100 Years Railway Line Ladysmith Glencoe,200,,193,Railway/Trains,,,
RSA,19890921.01,RWY,P,,$,New Date Stamp Old Station Museum Uitenhage,3982,578,198,Railway/Trains,,,
RSA,19890921.02,RWY,P,,,New Date Stamp Old Station Museum Uitenhage,,,199,Railway/Trains,,,
RSA,19891002.02,MIL,SADF,09,$,11 Field Postal Unit PTA     ,12000,579,201,Military,Railway/Trains,Flight and Aircraft,
RSA,19891005.03,RWY,P,,,Zig Zag Steam Safari,200,,202,Railway/Trains,,,
RSA,19900215.01,FDC,SAPO,5.008,$,Cooperation         ,80000,590,203,Railway/Trains,Agriculture/Farming,Maps,Dams
RSA,19900215.04,RWY,P,,,Integrated Railway Cooperation         ,,,204,Railway/Trains,,,
RSA,19900215.02,FDC,SAPO,S16,$$,Cooperation         ,80000,590,204,Railway/Trains,Agriculture/Farming,Maps,Dams
RSA,19900401.01,RWY,SATS,,,Transnet Museum No 1,200,,207,Transport,Railway/Trains,,
RSA,19901013.01,RWY,P,,,100 Years Boksburg Springs Railway Line,50,,211,Railway/Trains,,,
RSA,19901117.01,RWY,P,,,100 Years Braamfontein Roodepoort Railway Line,,,212,Railway/Trains,,,
RSA,19901128.02,RWY,SATS,,25.00,80 Years Royal Tour Duke of Connaught,30,,213,Railway/Trains,,,
RSA,19901201.01,MIL,SHS,5,8.00,Simons Town Railway       ,3000,,214,Railway/Trains,,,
RSA,19901217.01,RWY,P,,,100 Years Railway Line Colesberg Bloemfontein,,,215,Railway/Trains,,,
RSA,19910210.01,RWY,SATS,,25.00,100 Years Railway line Roodepoort Krugersdorp,40,,216,Railway/Trains,,,
RSA,19910407.01,RWY,SATS,,25.00,100 Years Railway Line Newcastle Charlestown,20,,219,Railway/Trains,,,
RSA,19910420.01,RWY,SATS,2.01,25.00,Indian Ocean Limited Safari 25NC Class De Aar DS,500,,220,Railway/Trains,,,
RSA,19910420.02,RWY,SATS,2.02,25.00,Indian Ocean Limited Safari GMAM Class Muizenberg DS,500,,221,Railway/Trains,,,
RSA,19910420.03,RWY,SATS,2.03,25.00,Indian Ocean Limited Safari GMAM Class Ashton DS,500,,222,Railway/Trains,,,
RSA,19910420.04,RWY,SATS,2.04,25.00,Indian Ocean Limited Safari GMAM Class Mosselbaai DS,500,,223,Railway/Trains,,,
RSA,19910420.05,RWY,SATS,2.05,25.00,Indian Ocean Limited Safari GO Class Knysna DS,500,,224,Railway/Trains,,,
RSA,19910420.06,RWY,SATS,2.06,25.00,Indian Ocean Limited Safari 24 Class Oudtshoorn DS,500,,225,Railway/Trains,,,
RSA,19910420.07,RWY,SATS,2.07,25.00,Indian Ocean Limited Safari 19C Class Port Elizabeth DS,500,,226,Railway/Trains,,,
RSA,19910420.08,RWY,SATS,2.08,25.00,Indian Ocean Limited Safari 19D Class Port Alfred DS,500,,227,Railway/Trains,,,
RSA,19910420.09,RWY,SATS,2.09,25.00,Indian Ocean Limited Safari GF Class Fauresmith DS,500,,228,Railway/Trains,,,
RSA,19910420.10,RWY,SATS,2.10,25.00,Indian Ocean Limited Safari 16E Class Bloemfontein DS,500,,229,Railway/Trains,,,
RSA,19910420.11,RWY,SATS,2.11,25.00,Indian Ocean Limited Safari 26 Class Mafikeng DS,500,,230,Railway/Trains,,,
RSA,19910420.12,RWY,SATS,2.12,25.00,Indian Ocean Limited Safari 12 AR Class JHB DS,500,,231,Railway/Trains,,,
RSA,19910701.01,RWY,SATS,,25.00,100 Years Railway Line Mocambique Border Komatipoort,60,,232,Railway/Trains,,,
RSA,19910720.01,RWY,SATS,3.01,25.00,Brush with Steam Safari GMAM Class Ermelo DS,500,,233,Railway/Trains,,,
RSA,19910720.02,RWY,SATS,3.02,25.00,Brush with Steam Safari GMAM Class Nelspruit DS,500,,234,Railway/Trains,,,
RSA,19910720.03,RWY,SATS,3.03,25.00,Brush with Steam Safari 24 Class Barberton DS,500,,235,Railway/Trains,,,
