Area,Date,Type,Issued By,No,Value,Description,# Issued,Atlas,Alberta,Theme A,Theme B,Theme C,Theme D
BOP,19771206.01,FDC,SPO,1.001,$$,Independance         ,80000,,,Government and Politics,,,
BOP,19771206.02,FDC,SPO,1.001,$$$,1st Def issue Folder      ,60000,,,Wildlife,Definitive Series,,
BOP,19771206.03,BAL,PRV,,$$$,Bophuthatswana Independance - flown by Balloon ,,,,Balloon Flights,,,
BOP,19780407.01,FDC,SPO,1.002,$,World Hypertension month       ,35000,,,Health/Medicine,,,
BOP,19780712.01,FDC,SPO,1.003,$,Road Safety        ,35000,,,Road Safety,Transport,Cars,
BOP,19781003.01,FDC,SPO,1.004,$,Taung Stone Works       ,35000,,,Gem Stones/Jewels,Manufacturing/Industries,,
BOP,19781201.01,FDC,SPO,1.005,$,Flight Orville and Wright      ,40000,,,Flight and Aircraft,,,
BOP,19781201.02,FLT,PRV,,$$,Flight Orville and Wright      ,,,,Flight and Aircraft,,,
BOP,19781201.03,FLT,PRV,,$$,Flight Orville and Wright      ,,,,Flight and Aircraft,,,
BOP,19781205.01,FDC,SPO,1.006,$,Lucas Mangope        ,40000,,,Government and Politics,Presidents and Leaders,,
BOP,19790228.01,FDC,SPO,1.007,$,Sorgum Beer        ,22000,,,Food and Drink,Manufacturing/Industries,,
BOP,19790602.01,FDC,SPO,1.007a,$,Boxing         ,33000,,,Boxing,Sport,,
BOP,19790607.01,FDC,SPO,1.008,$,Year of the Child      ,29000,,,Child,Child Paintings,,
BOP,19790815.01,FDC,SPO,1.009,$,Platinum         ,29000,,,Mining/Minerals,Astronomy/Space,Platinum,
BOP,19791025.01,FDC,SPO,1.010,$,Agriculture         ,30000,,,Agriculture/Farming,,,
BOP,19791025.02,FDC,PRV,,$$,Agriculture,,,,Agriculture/Farming,,,
BOP,19800305.01,FDC,SPO,1.011,$,Anti Smoking        ,35000,,,Health/Medicine,,,
BOP,19800604.01,FDC,SPO,1.012,$,Edible Wild Fruit       ,40000,,,Flora/Flowers,Fruit/Vegetables,,
BOP,19800910.01,FDC,SPO,1.013,$,Birds         ,60000,,,Birds/Bats,,,
BOP,19800910.02,CMC,PRV,,$$$,Birds         ,,,,Birds/Bats,,,
BOP,19800920.01,FDC,SPO,1.013.1,$,Mafeking         ,60000,,,Towns/Cities History,,,
BOP,19801025.01,FDC,SPO,1.014,$,World Boxing Title Fight      ,75000,,,Boxing,Sport,,
BOP,19801206.01,FDC,SPO,1.015,$,Tourism         ,75000,,,Tourism,Golf,,
BOP,19801206.02,FLT,APH,023,$$$,Comair flight Sun City JHB     ,,,,Flight and Aircraft,,,
BOP,19810130.01,FDC,SPO,1.016,$,Disabled         ,115000,,,Disabled,Health/Medicine,Sport,
BOP,19810401.01,FDC,SPO,1.017,$,Easter         ,120000,,,Easter,Religion/Churches,,
BOP,19810731.01,FDC,SPO,1.018,$,Telephone         ,120000,,,Communication,,,
BOP,19811125.01,FDC,SPO,1.019,$,Indigenous Grasses        ,125000,,,Flora/Flowers,Grasses,,
BOP,19820129.01,FDC,SPO,1.020,$,Boy Scouts        ,120000,,,Boy Scouts/Girl Guides,,,
BOP,19820129.02,CMC,SPO,,$$,Boy Scouts (Gilwell Reunion),,,,Boy Scouts/Girl Guides,,,
BOP,19820129.03,CMC,PRV,,$$$,Boy Scouts (International issue),,,,Boy Scouts/Girl Guides,,,
BOP,19820129.04,CMC,PRV,,$$$,Boy Scouts (International issue),,,,Boy Scouts/Girl Guides,,,
BOP,19820401.01,FDC,SPO,1.021,$,Easter         ,100000,,,Easter,Religion/Churches,,
BOP,19820903.01,FDC,SPO,1.022,$,Telephone         ,135000,,,Communication,,,
BOP,19820903.02,FDC,SLK,82.01,$$$,SILK Telephone         ,,,,Communication,,,
BOP,19821206.01,FDC,SPO,1.023,$,5th Anniv Independance       ,125000,,,Government and Politics,,,
BOP,19821206.02,FDC,SLK,82.02,$$$,SILK 5th Anniv Independance       ,,,,Government and Politics,,,
BOP,19830105.01,FDC,SPO,1.024,$,Pilansberg         ,110000,,,Wildlife,,,
BOP,19830105.02,FDC,SLK,83.01,$$$,SILK Pilansberg         ,,,,Wildlife,,,
BOP,19830330.01,FDC,SPO,1.025,$,Easter         ,100000,,,Easter,Religion/Churches,,
BOP,19830330.02,FDC,PRV,,$$,Easter         ,,,,Easter,Religion/Churches,,
BOP,19830330.03,FDC,SLK,83.02,$$$,SILK Easter,,,,Easter,Religion/Churches,,
BOP,19830622.01,FDC,SPO,1.026,$,Telephone         ,100000,,,Communication,,,
BOP,19830622.02,FDC,SLK,83.03,$$$,SILK Telephone         ,,,,Communication,,,
BOP,19830914.01,FDC,SPO,1.027,$,Birds         ,90000,,,Birds/Bats,,,
BOP,19830914.02,FDC,SLK,83.04,$$$,SILK Birds         ,,,,Birds/Bats,,,
BOP,19830914.03,FDC,PRV,,$$,Kori Bustard        ,,,,Birds/Bats,,,
BOP,19830914.04,FDC,PRV,,$$,Korhaan         ,,,,Birds/Bats,,,
BOP,19830914.05,FDC,PRV,,$$$,Birds         ,,,,Birds/Bats,,,
BOP,19831001.01,FDC,SPO,1.027.1,$,Thaba Nchu       ,85000,,,Towns/Cities History,Government and Politics,,
BOP,19840116.01,FLT,APH,059,$$$,Mmabatho Air flight Mafikeng Jan Smuts    ,,,,Flight and Aircraft,,,
BOP,19840117.01,FLT,APH,064,$$$,Mmabatho Air flight Pilansberg Mafikeng,,,,Flight and Aircraft,,,
BOP,19840117.02,FLT,APH,061,$$$,Mmabatho Air flight Mafikeng Pilansberg     ,,,,Flight and Aircraft,,,
BOP,19840117.03,FLT,APH,062,$$$,Mmabatho Air flight Pilansberg Jan Smuts    ,,,,Flight and Aircraft,,,
BOP,19840120.01,FDC,SPO,1.028,$,Grasses         ,80000,,,Flora/Flowers,Grasses,,
BOP,19840120.02,FDC,SLK,84.01,$$$,SILK Grasses         ,,,,Flora/Flowers,Grasses,,
BOP,19840323.01,FDC,SPO,1.029,$,Easter         ,80000,,,Easter,Religion/Churches,,
BOP,19840323.02,FDC,SLK,84.03,$$$,SILK Easter,,,,Easter,Religion/Churches,,
BOP,19840402.01,FDC,SPO,1.029.1,$,Max Card Platinum        ,75000,,,Mining/Minerals,,,
BOP,19840402.02,FDC,SLK,84.02,$$$,SILK Platinum         ,,,,Mining/Minerals,,,
BOP,19840720.01,FDC,SPO,1.030,$,Telephone         ,65000,,,Communication,,,
BOP,19840720.02,FDC,SLK,84.03,$$$,SILK Telephone         ,,,,Communication,,,
BOP,19840925.01,FDC,SPO,1.031,$,Lizards         ,75000,,,Snakes/Lizards/Reptiles,,,
BOP,19840925.02,FDC,SLK,84.04,$$$,SILK Lizards         ,,,,Snakes/Lizards/Reptiles,,,
BOP,19850125.01,FDC,SPO,1.032,$,Health         ,75000,,,Health/Medicine,Child,,
BOP,19850125.02,FDC,GLD,85.02,$$$$,GOLD Health         ,,,,Health/Medicine,Child,,
